#NewTwitter kya apa to emg'e?? ga isa nyoba new twitter dr laptop~ =(,2616580673,18537
@nlschmidt I am actually a fan of #newtwitter but it took some time. Golden ratio!,2707506357,18546
"sooooooo, I think I like the #oldtwitter better than the #newtwitter",2697067527,18545
@jukugocafe_mem Good morning!;) I'm happy to see you. I'd like to tweet w/ u more if #newtwitter guy isn't acting up on me. Have a good day,2719000517,18548
@iambendavis #newtwitter is legit. Yo are you busy next tuesday???,2707697552,18546
al fin!! new twitter!! :D #newtwitter,2672050497,18543
"I just left the preview of new @Twitter. Couldn't stand it. Especially the DMs. When they force me on it, fine. #NewTwitter",2603355408,18536
#WithOutMy #NewTwitter i would be board like the rest of u with out the new twitter,2673003946,18543
New Twitter on one account and old twitter on another account?  When will it get to all accounts? #newtwitter,2622192321,18538
Kind of liking #newtwitter.,2707520260,18546
Really liking the #newtwitter!,2697513859,18545
New Twitter Is The Bigges Dog #NewTwitter,2629372558,18538
"""Awesome"" is the word for #NewTwitter. That is, if ""awesome"" was the new word for ""HOLY MOTHER OF GOD THIS IS AWFUL! It BUUUUURNS!""",2697905835,18545
RT @benasmith: Helpful post from @Mashable on customizing your background for #newtwitter http://bit.ly/bVKA41,2657843443,18541
#NewTwitter Looks quiet nice. So far it seems like an improvement.,2707614487,18546
new twitter is more convenient. now i don't have to wait for a new page to load. :) #NewTwitter,2613720093,18537
how the hell do you retweet on #newtwitter? it wont show up. help?,2697286739,18545
Making a new twitter background for the #newtwitter,2685076343,18544
How to customise your background for the #NewTwitter http://bit.ly/dkgjWh [BLOG] <-- I need to get round to this!,2658714519,18541
Shit! El #NewTwitter es horrible!!,2717383858,18547
RT @JusAssJuicy the #newtwitter SUCKS DICK! < no it doesn't ! you are so crazy,2697281237,18545
I'm trying New Twitter. For me it looks like this: http://furubakar.narod.ru/My_New_Twitter_2010100701.png   … #NewTwitte,2658614093,18541
#newtwitter is for #TittyTuesday.,2716487229,18547
I like the #NewTwitter BUT its slow,2718115792,18547
Everybody Should Get Use To The #newtwitter Cause They Might Make This New Twitter Permanent,2686732985,18544
I like to the #newtwitter.  It has better functions finally.  LOL!,2707665135,18546
I got the new twitter interface :) @newtwitter #NewTwitter,2646971795,18540
D0NT THINK IM LIKING THE #NEWTWITTER SHYT #P00,2717843704,18547
"RT @Brian_GriffinFG: Hello Twitter, If you're going to change to the #newtwitter make sure you give option to go back to the old one, Thank",2717078479,18547
AWW i want new twitter! i want #newtwitter @twitter xxxx,2648436723,18540
RT @lizzieanderton: I cant access the new twitter! :/ #newtwitter,2658320884,18541
i like the fact i don't have to use #newtwitter - it's actually pretty useless.,2718141943,18547
My new twitter is twit awesome  #newtwitter,2676789780,18543
Splodz Blogz: Quick blog yesterday about #newtwitter... any thoughts? http://splodzblogz.wordpress.com/2010/10/03/the-new-twitter/,2639355734,18539
"If you don't like the #newtwitter, please sign this. http://twitition.com/jg9cr",2717728029,18547
RT @CarlaYoung: Have you seen the #NewTwitter yet? A few ideas on how to leverage the new features... http://ow.ly/2NuhN,2620841744,18537
My eyes hurt...and #newtwitter is confusing. One day it has 'Reply' and the other day it doesn't. HOW DO I REPLY? HOW DO I DELETE?,2707082708,18546
Simultweeting harder with #newtwitter. Have to open box to tweet. #BL10,2718684812,18548
Awesome. Thanks. RT @jonpierce: w/e hack: adding classic-style RTs to #NewTwitter via Chrome http://bit.ly/classic-retweet-for-chrome,2716634840,18547
RT @SimplyAnge: YAAAY I Finally Have The #NewTwitter :D <-- How Did You Get New Twitter?,2679068313,18543
#newtwitter is cool... i guess,2697451265,18545
alright new twitter. #newtwitter,2659526706,18541
Dr Insult thinks #newtwitter is a complaint from one of his patients. #iphone #app http://bit.ly/d9pKCi #free #comedy #humor #doctor,2717078769,18547
well.. i like the new twitter! it makes all easier and more comfortable.. #newtwitter,2683272497,18544
Be glad. RT @lizzieanderton I cant access the new twitter! :/ #newtwitter,2677896943,18543
@timeawhite A new Twitter experience is coming! Learn more about it… #NewTwitter ez van oda irva,2616724065,18537
Does everybody have the #newTwitter now? everybody all caught up ?,2717139751,18547
fuck'n #newtwitter you bad ass.!!!,2697821842,18545
"Dear @Twitter.  I like #NewTwitter, but it'd be great if you could highlight/bold/change the Messages link when I have a new DM. #kthxbye",2716689957,18547
"... It opens the next ""page"" automatically as you reach the bottom of the page. :) #NewTwitter",2707560275,18546
to usando o #newtwitter  neem sei porque tbm '-'  kkkk,2707381720,18546
"I don't like the #NewTwitter, this version is weird!!",2697983477,18545
"No #newtwitter yet.  I am patiently waiting.  pssh, even @alqaeda gets the new twitter before me.",2647279663,18540
why isnt mine the new twitter? #NewTwitter,2624104362,18538
"Worldly things -> I love the new Twitter.  Love, love, love it.  Thanks inventors of the #newtwitter",2612240190,18536
I'm liking the #NewTwitter if only for the fact that I no longer have to click the button to read earlier tweets ... //cont ...//,2707554195,18546
Whenever i tweet with New Twitter... I feel great! *I Luv the #NewTwitter,2619956575,18537
Arghhhh...esse #newtwitter é mtooo chato! :(,2707893267,18546
"RT @BethHarte: If you are looking to redo your #NewTwitter background, this post from @RickWolff is a great help: http://bit.ly/bT7LWH",2683483736,18544
#newtwitter motha suckas,2708579861,18547
"The new @Twitter promotional video. Soundtrack by: Will.i.am and Nick Minaj. ""Check It Out"". http://t.co/vlaoTaP [#newtwitter #socialmedia]",2659641531,18541
"RT @centsiblelife: I think #newtwitter kind of makes backgrounds useless, no? [<= Pretty much mangled ours!]",2707708887,18546
am i the only one who likes the #newtwitter ?,2707316517,18546
@ChrisOHara10 Let's make it official Happy Birthday coming live from @janinetoro's new twitter lol #newtwitter,2697372254,18545
@biia_0509 la em cima tem escrito Welcome to #NewTwitter! Read up on what’s new. You can also leave the preview and come back later. +,2718119934,18547
i never got the new twitter yet :( RT @Bdert: How can I get my old twitter back...the option to leave #Newtwitter is gone...Stuck...SMH,2657191913,18541
Is there not a URL shortening service built into #NewTwitter? Am I blind? Stupid? Both?,2718649841,18548
RT Quem tem o #newtwitter,2698273535,18546
FINALLY #NewTwitter for ME!!!,2717465646,18547
Loving the new twitter! #NewTwitter,2647758636,18540
Quero new twitter #newtwitter,2619530219,18537
"@abrasion @sarselack No reference to #newtwitter in my phone app, is there a good app that I could use on my laptop?",2717485121,18547
"Damn you, new Twitter, you just keep going and going. Now I keep reading and reading without stopping for days and days. #newtwitter",2672082646,18543
#newtwitter !!!,2697213284,18545
RT @OneHeadlightInk: IHATEYOU new Twitter! >> LOL!! Seems to be the consensus around here. #newtwitter,2674723037,18543
